SSDSE-B-2026,Code,Prefecture,A1101,A110101,A110102,A1102,A110201,A110202,A1301,A130101,A130102,A1302,A130201,A130202,A1303,A130301,A130302,A4101,A410101,A410102,A4103,A4200,A420001,A420002,A5101,A510101,A510102,A5102,A510201,A510202,A9101,A9201,B4101,B4102,B4103,B4106,B4109,C3301,C3302,C3801,C3802,C5401,C5403,E1101,E1301,E1501,E2101,E2401,E2501,E3101,E3401,E3501,E3701,E3702,E4101,E4401,E4501,E4601,E4602,E6101,E6102,E6201,E6202,E6301,E6302,E6501,E650110,E6502,E650210,E7101,E7102,E7201,E7202,F3101,F3102,F3103,F3104,F3105,G5105,G7101,G7102,H1800,H1801,H1802,H1803,H2600,H2601,H2602,H2603,H5609,H5610,H5614,I510120,I5102,I5103,J2503,J2505,J250502,J2506,J2526,L3221,L322101,L322102,L322103,L322104,L322105,L322106,L322107,L322108,L322109,L322110
2014,R01000,ñkäCìπ,5410000,2551000,2859000,5390000,2543000,2847000,621000,316000,304000,3261000,1595000,1666000,1519000,633000,885000,37058,19010,18048,1.27,60019,31333,28686,46554,27741,18813,55496,32085,23411,26021,11003,9.3,27.0,-7.4,144,1203.5,19936,5002609,3080,109365,18100,57700,542,5571,64743,1127,19335,256601,641,12318,137026,45886,44790,290,10909,134616,43567,18448,17,37,309,6681,5434,77917,2608,266,16925,2142,175,56,31388,5039,270617,958243,788728,59225,59954,88179,26526110,3705430,32225,10604,17809,3586,2762202,1347232,396378,998698,1963290,990,24.6,499,3377,2978,852,68980,473,68452,10681,285154,65450,22611,27824,9061,12007,11702,36067,9160,27168,64105
2013,R01000,ñkäCìπ,5438000,2565000,2873000,5419000,2558000,2861000,630000,321000,309000,3332000,1628000,1704000,1469000,612000,857000,38190,19558,18632,1.28,59432,30976,28456,47783,28308,19475,55937,32388,23549,26330,11285,9.2,27.1,-8.0,161,1347.0,22963,5690164,3163,111005,18100,57200,547,5511,65150,1154,19530,261370,652,12392,138959,47546,46413,292,11030,135859,43503,17923,17,36,328,6581,5400,78805,2456,328,17397,2113,179,56,32590,5038,290823,1048428,773704,65119,65291,94152,26225590,2821940,34967,13304,17502,3900,3186608,1731039,433195,1000642,2019207,1013,24.0,505,3396,3003,828,67730,532,66763,10468,279190,63975,26159,26210,9283,10375,11833,38039,8205,26697,58414
2012,R01000,ñkäCìπ,5465000,2580000,2886000,5446000,2572000,2874000,640000,326000,314000,3398000,1658000,1739000,1422000,592000,830000,38686,19750,18936,1.26,58066,30834,27232,49367,28896,20471,56112,32880,23232,26538,11594,9.3,27.2,-7.8,148,1279.0,21966,5347660,3246,112181,18400,58400,558,5418,65725,1176,19603,265023,662,12406,141516,47965,46865,297,11152,139147,45817,18265,18,35,348,6498,5622,79242,2786,395,17196,2150,180,57,32578,4822,312730,1168445,659257,66696,67022,112212,24499270,1848450,35523,12055,18901,4387,3155047,1574389,478137,1087221,2012577,1004,23.6,504,3386,3014,813,65412,1075,65350,10132,281574,63444,16668,26077,8369,11414,13248,40937,10137,29009,62271
2023,R02000,ê¬êXåß,1184000,559000,626000,1177000,556000,622000,118000,61000,58000,649000,326000,323000,417000,172000,245000,5696,2916,2780,1.23,20835,10237,10598,15226,9156,6070,20792,11694,9098,3326,1665,12.6,32.8,-3.5,170,1316.0,5043,809602,557,19152,16100,33400,85,657,3404,249,4361,52437,153,2910,28541,9779,9403,63,2631,28286,9011,4887,5,10,118,1370,885,15121,389,8,3542,341,25,10,2203,137,43713,180369,214619,12762,13473,9922,3880720,255240,4680,2638,1387,627,441477,305512,61270,73064,427952,967,12.6,72,850,481,230,15881,0,12482,2358,263371,77899,14433,30475,11208,6791,12072,34225,6713,20630,48925
2022,R02000,ê¬êXåß,1204000,568000,636000,1198000,565000,633000,123000,63000,60000,663000,333000,330000,419000,172000,246000,5985,3055,2930,1.24,20117,9754,10363,16247,9830,6417,20624,11535,9089,3656,1664,11.3,27.9,-3.9,158,1721.5,5678,898307,580,19340,15900,33400,85,672,3820,259,4444,53644,156,2945,29042,9915,9589,71,2712,29349,9804,5227,5,10,122,1371,913,15398,416,12,3543,320,26,10,2298,157,44051,182107,218576,12895,13576,3376,3440670,28190,5178,3011,1296,792,512389,358683,75935,71984,444849,991,14.0,73,859,493,472,34055,0,29676,2685,249660,73725,10541,32356,9873,7036,9411,34214,5540,20068,46897
2021,R02000,ê¬êXåß,1221000,575000,646000,1216000,573000,642000,127000,65000,62000,676000,338000,337000,419000,172000,247000,6513,3386,3127,1.31,18785,9230,9555,16169,9667,6502,20396,11459,8937,3736,1783,11.5,28.4,-4.4,152,1382.5,6280,961661,605,19645,15900,33600,86,695,4287,263,4464,54460,157,2970,29940,10184,9903,77,2847,30543,10337,5370,5,10,119,1372,950,15419,452,15,3524,284,26,10,2286,163,45601,185683,205010,13096,13708,1519,2788990,13240,5398,3496,1094,760,569661,422394,75282,68368,455539,1002,14.2,76,870,505,472,34007,0,30738,2466,245117,69503,13232,28051,10523,6520,10781,32379,5273,19092,49762
2020,R02000,ê¬êXåß,1237984,583402,654582,1224334,577003,647331,129112,65898,63214,676167,336887,339280,412943,169631,243312,6837,3493,3344,1.33,17905,8942,8963,16413,9873,6540,21145,11889,9256,4032,1915,11.6,29.5,-1.7,159,1417.0,7374,1041662,613,19765,16100,33700,87,662,4632,269,4536,55717,159,3001,30206,10067,9828,77,2953,32155,10798,5319,5,10,122,1389,1018,15400,494,11,3486,282,27,11,2215,184,48078,196848,185096,13690,14240,4580,2541590,73820,5651,3416,1230,934,579581,415369,90654,69671,457849,993,14.0,77,862,511,475,34236,0,30723,2594,251881,75325,18537,27837,10651,7340,11863,29385,3841,18924,48177
2019,R02000,ê¬êXåß,1253000,590000,663000,1247000,588000,659000,133000,68000,65000,699000,348000,351000,415000,170000,245000,7170,3682,3488,1.38,18424,9286,9138,16527,9920,6607,22874,12731,10143,4601,2009,11.4,29.8,-3.1,140,1093.0,6699,1094701,630,19987,16200,33700,88,654,4877,282,4677,56886,160,3030,31052,10757,10541,76,2993,33653,11314,5272,5,10,125,1382,1053,15344,475,10,3429,258,28,11,2227,219,50947,185486,211089,16102,17067,17318,3897630,337620,5922,3764,1372,687,626521,470898,68697,81834,469430,1003,14.3,77,877,520,480,35388,0,33675,3114,243609,66593,14278,28089,10404,7237,10276,37287,5095,20596,43755
2018,R02000,ê¬êXåß,1268000,597000,671000,1263000,595000,668000,137000,70000,67000,714000,355000,359000,412000,169000,243000,7803,3980,3823,1.43,17936,8925,9011,16744,10010,6734,23196,12764,10432,4737,2022,11.0,27.4,-5.1,172,1553.0,6994,1223042,680,20575,16300,33600,88,635,5078,287,4749,58394,162,3068,32137,11250,11030,77,3034,34902,11474,5298,5,10,130,1394,1115,15196,552,15,3349,254,28,11,2360,233,53679,191713,229705,17190,18331,16565,3697290,296240,6727,3861,2159,695,673249,485091,67622,119571,473715,1002,14.5,79,885,528,479,35300,0,33169,3033,251459,68455,17656,28448,9079,8361,11139,38005,4836,20251,45229
2017,R02000,ê¬êXåß,1282000,603000,679000,1277000,601000,676000,141000,72000,69000,731000,362000,368000,407000,166000,241000,8035,4104,3931,1.43,17575,8868,8707,17454,10449,7005,23529,12997,10532,5122,2092,10.7,28.6,-3.2,172,1388.0,6731,1143670,693,20461,16300,33600,94,695,5734,289,4753,59233,161,3148,33921,11830,11599,78,3061,35865,11717,5491,5,10,142,1356,1287,15055,651,24,3368,257,28,11,2373,286,58225,203753,227618,18233,19476,15396,3650910,242980,6454,3725,2105,561,653599,473907,53278,120944,479621,1002,15.0,78,881,534,467,34493,0,32943,3252,246650,69216,13980,27751,8785,7371,11031,30689,5877,21813,50136
2016,R02000,ê¬êXåß,1295000,609000,686000,1291000,607000,684000,145000,74000,71000,748000,370000,377000,401000,164000,238000,8626,4380,4246,1.48,17309,8777,8532,17061,10203,6858,23384,12901,10483,5135,2164,11.0,28.7,-3.0,170,1389.5,6704,1214427,704,20380,16400,33900,100,711,6013,293,4770,60644,165,3250,35505,12357,12136,80,3078,36620,12094,5385,5,10,147,1332,1429,14972,683,18,3432,271,29,11,2367,302,63536,218954,209505,19427,20773,14904,3571080,143590,6513,3670,2346,471,648888,467813,49208,128824,486063,1004,15.3,80,884,548,464,34434,0,33236,3416,236801,69202,9368,26793,9614,7771,9884,30923,5689,18255,49302
2015,R02000,ê¬êXåß,1308265,614694,693571,1302132,612113,690019,148208,75661,72547,757867,373796,384071,390940,158837,232103,8621,4400,4221,1.43,17148,8694,8454,17724,10596,7128,24284,13598,10686,5432,2267,11.5,27.9,-2.7,131,1003.5,6333,1147399,768,20684,16700,34500,107,672,6533,302,4854,62719,166,3262,36719,12452,12219,80,3093,37409,12242,5342,5,10,153,1300,1643,14736,757,25,3203,257,30,12,2495,291,70454,243951,188078,20839,22136,13298,3620530,109900,5826,3363,1824,621,595631,428742,64628,101106,503390,1026,15.0,81,889,550,465,33728,0,33174,3813,226214,61805,10343,27941,10105,6888,9631,28664,6719,17920,46196
2014,R02000,ê¬êXåß,1323000,622000,701000,1320000,620000,699000,155000,79000,76000,784000,388000,396000,383000,154000,229000,8853,4508,4345,1.42,17042,8856,8186,17792,10622,7170,24252,13594,10658,5481,2195,10.7,27.8,-4.4,158,1483.5,6086,1132021,823,21107,17100,35400,119,755,7946,310,4921,64876,168,3272,37540,12666,12431,82,3163,38266,12547,5517,5,10,151,1314,1731,14635,771,16,3283,248,31,12,2500,328,77139,267573,176531,22318,24002,13559,3782210,69670,5530,3353,1735,436,581210,438073,44096,98394,517384,1046,13.5,81,895,555,448,30765,0,33107,5167,243627,63139,9693,30606,9222,8087,12354,32782,4986,19572,53187
2013,R02000,ê¬êXåß,1337000,628000,708000,1334000,627000,706000,159000,81000,78000,804000,397000,407000,373000,150000,223000,9126,4725,4401,1.40,17112,8738,8374,18472,10989,7483,24528,13808,10720,5723,2335,10.5,29.3,-4.7,164,1664.0,6849,1218028,852,21535,17700,36700,120,823,8150,316,5072,67394,169,3310,38452,13256,12929,82,3188,38878,12594,5378,6,10,165,1300,1849,14658,805,26,3377,270,31,13,2504,427,83221,292194,170283,23237,24835,14969,3551720,57130,6454,4206,1940,285,702051,558134,29998,110925,534819,1069,13.7,85,896,556,459,31342,0,33427,5328,246445,62383,13864,29311,8995,8959,9992,32405,12268,19961,48308
2012,R02000,ê¬êXåß,1350000,635000,716000,1347000,634000,714000,164000,83000,80000,822000,406000,416000,364000,145000,219000,9168,4771,4397,1.36,17294,8953,8341,19305,11454,7851,24648,13871,10777,5846,2408,10.5,29.6,-5.1,173,1295.5,6008,1177329,890,22040,19200,38200,122,816,8602,323,5148,69759,170,3322,39374,13314,12997,85,3258,40037,13330,5518,6,10,177,1320,1910,14636,846,30,3341,276,34,14,2664,422,88269,309813,151798,23847,25368,18765,3544480,39390,5578,3363,1844,348,585937,443657,35199,104809,539977,1069,14.2,86,893,563,446,30406,0,32655,5142,251153,61839,13668,29040,10381,9811,10989,28739,8907,23000,54779
2023,R03000,ä‚éËåß,1163000,562000,602000,1154000,558000,596000,120000,62000,59000,636000,326000,310000,407000,174000,233000,5432,2766,2666,1.16,19612,9668,9944,14903,8696,6207,19690,10720,8970,3376,1488,12.5,33.6,-4.8,125,1453.0,5731,1185835,743,21140,26100,44700,64,483,3294,271,4441,52972,149,2799,29109,9891,9500,79,2821,28501,9020,4499,4,6,60,1356,663,10909,332,54,2523,389,32,7,4484,442,40955,164263,208622,13247,13976,10931,4980740,262880,6427,2723,3023,670,496289,302855,63983,128527,376721,875,16.4,76,879,542,265,19965,27,15199,3156,298536,81997,18598,29851,11727,10122,14615,45826,6748,28499,50554
2022,R03000,ä‚éËåß,1181000,570000,611000,1173000,566000,606000,125000,64000,61000,648000,332000,316000,408000,174000,235000,5788,3029,2759,1.21,19342,9388,9954,15555,9095,6460,19933,10963,8970,3508,1492,11.2,29.7,-6.4,138,1402.5,6349,1469227,774,21665,25600,44300,70,520,3902,289,4586,54373,151,2798,29625,10006,9647,79,2854,29237,9604,4564,4,6,68,1352,726,11100,354,56,2484,391,34,6,4584,279,41815,163170,217348,13343,14076,3659,4268160,22640,6649,3133,2596,868,553971,356772,83161,111087,392513,901,16.8,77,889,548,391,31489,35,27461,3347,285815,77251,18814,31653,11801,8645,13492,39732,7786,25733,50909
2021,R03000,ä‚éËåß,1196000,577000,620000,1189000,574000,615000,129000,66000,63000,659000,337000,322000,409000,173000,235000,6472,3290,3182,1.30,17631,8686,8945,16149,9399,6750,19022,10428,8594,3673,1459,11.4,29.8,-6.5,131,1268.5,6935,1204169,787,21990,25400,44600,74,540,4462,298,4699,55597,154,2833,30269,10321,10033,79,2889,29980,10017,4673,4,6,68,1364,726,11340,349,48,2546,399,34,6,4620,300,39280,158869,205434,13374,14006,1515,3660190,11470,6805,3553,2562,676,592647,413092,70832,107315,401035,908,17.1,77,888,557,393,31657,12,28580,3411,272911,73738,17181,26994,10978,8884,12014,37341,9422,22302,54058
2020,R03000,ä‚éËåß,1210534,582952,627582,1194745,575610,619135,132447,67763,64684,658816,335037,323779,404359,170879,233480,6718,3415,3303,1.32,17204,8443,8761,15663,9180,6483,19530,10685,8845,3918,1679,11.4,30.4,-3.3,131,1462.0,6480,1076202,792,21972,24900,44800,85,630,5498,304,4759,56822,155,2868,30388,10027,9791,79,2921,31229,10345,4692,5,6,70,1376,751,11489,372,60,2571,352,34,7,4663,357,40879,165320,171677,13267,14009,4533,3625960,80680,5901,3476,1844,544,547938,405977,56270,84027,405527,908,17.5,77,877,566,390,31709,58,28895,3664,270902,74023,24850,27129,10443,7879,13034,40561,6573,20179,46232
2019,R03000,ä‚éËåß,1226000,590000,636000,1218000,587000,631000,137000,70000,67000,684000,350000,334000,406000,172000,234000,6974,3582,3392,1.35,17826,8816,9010,16555,9818,6737,21223,11429,9794,4489,1754,11.3,30.5,-4.9,107,1029.5,7455,1218348,811,22164,24800,45100,92,671,6351,312,4821,57949,162,2956,30973,10610,10392,80,2988,32580,10876,4910,5,6,84,1402,782,11362,392,64,2341,355,35,7,4813,368,45373,166511,206985,16570,17530,19305,5303880,325450,7862,3797,3124,922,689789,453514,91196,143029,420164,927,17.6,76,879,576,382,31491,175,30017,3734,295396,75776,14899,27385,10945,10431,13890,44216,10722,27779,59354
2018,R03000,ä‚éËåß,1240000,597000,643000,1234000,594000,639000,140000,72000,68000,697000,356000,341000,403000,170000,234000,7615,3853,3762,1.41,17390,8657,8733,16285,9491,6794,21285,11408,9877,4439,1843,11.0,29.4,-6.9,120,1322.0,8093,1658999,817,21661,24800,44900,97,707,6902,316,4858,59253,164,3010,31732,11069,10843,80,3010,33689,11172,4878,5,6,85,1395,879,11373,459,73,2408,375,36,7,5021,416,47324,168658,233200,18590,19706,17700,5183550,245590,8496,4165,3542,704,749949,501126,71321,172101,424967,930,18.2,78,882,583,379,30264,145,28639,3731,286710,75110,11459,25872,9274,10551,12318,48015,7923,25982,60205
